"Time (EpSec),""Range (km)"""
3639829.000,2147.056311
3639849.000,2021.247635
3639869.000,1897.371523
3639889.000,1775.893530
3639909.000,1657.401229
3639929.000,1542.641745
3639949.000,1432.569772
3639969.000,1328.406201
3639989.000,1231.703211
3640009.000,1144.402079
3640029.000,1068.852543
3640049.000,1007.738312
3640069.000,963.838720
3640089.000,939.590450
3640109.000,936.532165
3640129.000,954.868848
3640149.000,993.408614
3640169.000,1049.913036
3640189.000,1121.647395
3640209.000,1205.867910
3640229.000,1300.116625
3640249.000,1402.335373
3640269.000,1510.866473
3640289.000,1624.401619
3640309.000,1741.916879
3640329.000,1862.611517
3640349.000,1985.856863
3640369.000,2111.155930
3640389.000,2238.112442
3640409.000,2366.407382
3640409.651,2370.603179
3674627.613,2375.553981
3674647.000,2272.797618
3674667.000,2170.509130
3674687.000,2072.601839
3674707.000,1979.775723
3674727.000,1892.825962
3674747.000,1812.643033
3674767.000,1740.203982
3674787.000,1676.550452
3674807.000,1622.749904
3674827.000,1579.837710
3674847.000,1548.742429
3674867.000,1530.202125
3674887.000,1524.686475
3674907.000,1532.341790
3674927.000,1552.972973
3674947.000,1586.067688
3674967.000,1630.855928
3674987.000,1686.389783
3675007.000,1751.626476
3675027.000,1825.500956
3675047.000,1906.980823
3675067.000,1995.102437
3675087.000,2088.990538
3675107.000,2187.865451
3675127.000,2291.041996
3675146.800,2396.837067
3680564.950,2369.099415
3680584.000,2255.649663
3680604.000,2138.761820
3680624.000,2024.587507
3680644.000,1913.662888
3680664.000,1806.635322
3680684.000,1704.285738
3680704.000,1607.551935
3680724.000,1517.549178
3680744.000,1435.581285
3680764.000,1363.131407
3680784.000,1301.817432
3680804.000,1253.296706
3680824.000,1219.113108
3680844.000,1200.500384
3680864.000,1198.185473
3680884.000,1212.255714
3680904.000,1242.141488
3680924.000,1286.722081
3680944.000,1344.511779
3680964.000,1413.862080
3680984.000,1493.129154
3681004.000,1580.784478
3681024.000,1675.471625
3681044.000,1776.023312
3681064.000,1881.454487
3681084.000,1990.943317
3681104.000,2103.808102
3681124.000,2219.484359
3681144.000,2337.504165
3681153.664,2395.254807
3724637.355,2396.587862
3724657.000,2267.915930
3724677.000,2137.802648
3724697.000,2008.815214
3724717.000,1881.250128
3724737.000,1755.482180
3724757.000,1631.991233
3724777.000,1511.399269
3724797.000,1394.521425
3724817.000,1282.435149
3724837.000,1176.570300
3724857.000,1078.816903
3724877.000,991.629742
3724897.000,918.071769
3724917.000,861.680940
3724937.000,826.012081
3724957.000,813.815285
3724977.000,826.140446
3724997.000,861.935132
3725017.000,918.448634
3725037.000,992.127761
3725057.000,1079.437538
3725077.000,1177.318221
3725097.000,1283.317818
3725117.000,1395.548515
3725137.000,1512.582073
3725157.000,1633.342207
3725177.000,1757.014589
3725197.000,1882.977791
3725217.000,2010.752321
3725237.000,2139.963619
3725257.000,2270.315322
3725272.046,2368.986589
3730749.968,2394.967879
3730769.000,2340.018837
3730789.000,2289.263171
3730809.000,2246.164868
3730829.000,2211.188137
3730849.000,2184.735573
3730869.000,2167.127706
3730889.000,2158.585236
3730909.000,2159.215794
3730929.000,2169.007254
3730949.000,2187.828339
3730969.000,2215.436719
3730989.000,2251.493121
