"Time (EpSec)","Range (km)"
3725051.000,1052.007002
3725061.000,1098.255268
3725071.000,1147.001669
3725081.000,1197.936568
3725091.000,1250.787674
3725101.000,1305.317074
3725111.000,1361.317731
3725121.000,1418.609874
3725131.000,1477.037525
3725141.000,1536.465308
3725151.000,1596.775594
3725161.000,1657.865997
3725171.000,1719.647198
3725179.778,1774.387828
3765484.876,1774.249194
3765494.000,1718.440391
3765504.000,1657.942403
3765514.000,1598.226539
3765524.000,1539.390443
3765534.000,1481.545441
3765544.000,1424.818634
3765554.000,1369.355237
3765564.000,1315.321165
3765574.000,1262.905790
3765584.000,1212.324772
3765594.000,1163.822758
3765604.000,1117.675617
3765614.000,1074.191764
3765624.000,1033.711883
3765634.000,996.606227
3765644.000,963.268521
3765654.000,934.105505
3765664.000,909.521553
3765674.000,889.898388
3765684.000,875.571160
3765694.000,866.803434
3765704.000,863.764809
3765714.000,866.515182
3765724.000,874.998979
3765734.000,889.050476
3765744.000,908.409166
3765754.000,932.741944
3765764.000,961.668111
3765774.000,994.783373
3765784.000,1031.680365
3765794.000,1071.964228
3765804.000,1115.263267
3765814.000,1161.235214
3765824.000,1209.570051
3765834.000,1259.990362
3765844.000,1312.250066
3765854.000,1366.132202
3765864.000,1421.446233
3765874.000,1478.025224
3765884.000,1535.723066
3765894.000,1594.411886
3765904.000,1653.979687
3765914.000,1714.328251
3765924.000,1775.371286
3765926.613,1791.427294
3809600.147,1790.616913
3809610.000,1735.247658
3809620.000,1680.046869
3809630.000,1625.957964
3809640.000,1573.102469
3809650.000,1521.615631
3809660.000,1471.647684
3809670.000,1423.365020
3809680.000,1376.951179
3809690.000,1332.607495
3809700.000,1290.553207
3809710.000,1251.024794
3809720.000,1214.274261
3809730.000,1180.566053
3809740.000,1150.172337
3809750.000,1123.366444
3809760.000,1100.414500
3809770.000,1081.565311
3809780.000,1067.039295
3809790.000,1057.017179
3809800.000,1051.629716
3809810.000,1050.949635
3809820.000,1054.986958
3809830.000,1063.688403
3809840.000,1076.940798
3809850.000,1094.578249
3809860.000,1116.391858
3809870.000,1142.140826
3809880.000,1171.563733
3809890.000,1204.388979
3809900.000,1240.343712
3809910.000,1279.160993
3809920.000,1320.585004
3809930.000,1364.374637
3809940.000,1410.305582
3809950.000,1458.171298
3809960.000,1507.783095
3809970.000,1558.969644
3809980.000,1611.576073
3809990.000,1665.462845
3810000.000,1720.504506
3810009.635,1774.526302
3815687.338,1789.740498
3815697.000,1768.612576
3815707.000,1749.291634
3815717.000,1732.648846
3815727.000,1718.763499
3815737.000,1707.704019
3815747.000,1699.526409
3815757.000,1694.272901
3815767.000,1691.970897
3815777.000,1692.632270
3815787.000,1696.253050
3815797.000,1702.813536
3815807.000,1712.278744
3815817.000,1724.599378
3815827.000,1739.712974
3815837.000,1757.545378
3815847.000,1778.012391
3815849.661,1783.891873
3850337.521,1775.154822
3850347.000,1716.713557
3850357.000,1655.723058
3850367.000,1595.496009
3850377.000,1536.129232
3850387.000,1477.733333
3850397.000,1420.434873
3850407.000,1364.378807
3850417.000,1309.731205
3850427.000,1256.682197
3850437.000,1205.449030
3850447.000,1156.279061
3850457.000,1109.452347
3850467.000,1065.283357
3850477.000,1024.121106
3850487.000,986.346810
3850497.000,952.367972
3850507.000,922.607873
3850517.000,897.489571
3850527.000,877.414540
3850537.000,862.737033
3850547.000,853.736966
3850557.000,850.595402
3850567.000,853.377224
3850577.000,862.024594
3850587.000,876.362776
3850597.000,896.116923
3850607.000,920.936292
3850617.000,950.421332
3850627.000,984.149506
3850637.000,1021.696963
3850647.000,1062.654832
3850657.000,1106.640071
3850667.000,1153.301603
3850677.000,1202.322854
3850687.000,1253.421729
3850697.000,1306.348972
3850707.000,1360.885610
3850717.000,1416.839977
3850727.000,1474.044649
3850737.000,1532.353489
3850747.000,1591.638914
3850757.000,1651.789428
3850767.000,1712.707451
3850777.000,1774.307404
3850779.861,1792.044722
3894508.535,1788.120350
3894518.000,1752.654672
3894528.000,1717.112975
3894538.000,1683.680297
3894548.000,1652.489241
3894558.000,1623.673346
3894568.000,1597.365250
3894578.000,1573.694545
3894588.000,1552.785376
3894598.000,1534.753841
3894608.000,1519.705279
3894618.000,1507.731591
3894628.000,1498.908687
3894638.000,1493.294342
3894648.000,1490.926324
3894658.000,1491.821268
3894668.000,1495.974138
3894678.000,1503.358395
3894688.000,1513.926859
3894698.000,1527.613198
3894708.000,1544.333927
3894718.000,1563.990805
3894728.000,1586.473432
3894738.000,1611.662023
3894748.000,1639.429985
3894758.000,1669.646484
3894768.000,1702.178709
3894778.000,1736.893866
3894788.000,1773.660859
3894788.869,1776.949149
3900454.401,1791.810457
3900464.000,1743.671254
3900474.000,1694.941525
3900484.000,1647.793986
3900494.000,1602.373614
3900504.000,1558.836492
3900514.000,1517.349601
3900524.000,1478.090207
3900534.000,1441.244693
3900544.000,1407.006757
3900554.000,1375.574850
3900564.000,1347.148785
3900574.000,1321.925509
3900584.000,1300.094098
3900594.000,1281.830081
3900604.000,1267.289527
3900614.000,1256.603074
3900624.000,1249.870511
3900634.000,1247.156350
3900644.000,1248.486813
3900654.000,1253.848594
3900664.000,1263.189490
3900674.000,1276.420801
3900684.000,1293.421415
3900694.000,1314.042897
3900704.000,1338.115327
3900714.000,1365.453308
3900724.000,1395.861748
3900734.000,1429.141109
3900744.000,1465.091911
3900754.000,1503.518403
3900764.000,1544.231405
3900774.000,1587.050304
3900784.000,1631.804501
3900794.000,1678.334140
3900804.000,1726.490453
3900814.000,1776.135734
3900814.457,1778.437513
3935225.369,1777.605988
3935235.000,1726.352301
3935245.000,1674.380018
3935255.000,1623.802386
3935265.000,1574.759915
3935275.000,1527.406432
3935285.000,1481.909609
3935295.000,1438.451164
3935305.000,1397.226607
3935315.000,1358.444362
3935325.000,1322.324078
3935335.000,1289.093969
3935345.000,1258.986993
3935355.000,1232.235806
3935365.000,1209.066479
3935375.000,1189.691227
3935385.000,1174.300300
3935395.000,1163.053874
3935405.000,1156.074416
3935415.000,1153.440407
3935425.000,1155.182100
3935435.000,1161.279841
3935445.000,1171.665160
3935455.000,1186.224552
3935465.000,1204.805311
3935475.000,1227.222978
3935485.000,1253.269444
3935495.000,1282.721050
3935505.000,1315.346100
3935515.000,1350.911366
3935525.000,1389.187404
3935535.000,1429.952617
3935545.000,1472.996149
3935555.000,1518.119784
3935565.000,1565.138943
3935575.000,1613.883083
3935585.000,1664.195566
3935595.000,1715.933201
3935605.000,1768.965546
3935609.268,1791.963888
3941296.842,1778.141182
3941306.000,1751.742157
3941316.000,1725.135824
3941326.000,1700.955898
3941336.000,1679.309017
3941346.000,1660.295784
3941356.000,1644.008793
3941366.000,1630.530641
3941376.000,1619.932018
3941386.000,1612.269967
3941396.000,1607.586397
3941406.000,1605.906963
3941416.000,1607.240363
3941426.000,1611.578021
3941436.000,1618.894418
3941446.000,1629.147725
3941456.000,1642.280923
3941466.000,1658.223280
3941476.000,1676.892081
3941486.000,1698.194537
3941496.000,1722.029772
3941506.000,1748.290806
3941516.000,1776.866454
3941519.382,1787.035246
3985277.201,1792.092121
3985287.000,1732.599904
3985297.000,1672.622208
3985307.000,1613.476330
3985317.000,1555.264185
3985327.000,1498.101538
3985337.000,1442.119989
3985347.000,1387.469178
3985357.000,1334.319139
3985367.000,1282.862764
3985377.000,1233.318203
3985387.000,1185.931009
3985397.000,1140.975676
3985407.000,1098.756112
3985417.000,1059.604425
3985427.000,1023.877274
3985437.000,991.949011
3985447.000,964.200874
3985457.000,941.006012
3985467.000,922.710602
3985477.000,909.612485
3985487.000,901.939664
3985497.000,899.831870
3985507.000,903.328338
3985517.000,912.364322
3985527.000,926.776878
3985537.000,946.318872
3985547.000,970.678503
3985557.000,999.501044
3985567.000,1032.409740
3985577.000,1069.023860
3985587.000,1108.972618
3985597.000,1151.904952
3985607.000,1197.495520
3985617.000,1245.447672
3985627.000,1295.494182
3985637.000,1347.396463
3985647.000,1400.942835
3985657.000,1455.946297
3985667.000,1512.242091
3985677.000,1569.685257
3985687.000,1628.148311
3985697.000,1687.519092
3985707.000,1747.698824
3985711.594,1775.592095
4020165.671,1782.156036
4020175.000,1752.999380
4020185.000,1723.994237
4020195.000,1697.437532
4020205.000,1673.449293
4020215.000,1652.144566
4020225.000,1633.631193
4020235.000,1618.007523
4020245.000,1605.360121
4020255.000,1595.761606
4020265.000,1589.268725
4020275.000,1585.920753
4020285.000,1585.738429
4020295.000,1588.723256
4020305.000,1594.857524
4020315.000,1604.104816
4020325.000,1616.411072
4020335.000,1631.706106
4020345.000,1649.905489
4020355.000,1670.912688
4020365.000,1694.621340
4020375.000,1720.917550
4020385.000,1749.682112
4020395.000,1780.792633
4020398.012,1790.604352
4026055.563,1774.850068
4026065.000,1724.720227
4026075.000,1672.793490
4026085.000,1622.214369
4026095.000,1573.118065
4026105.000,1525.652755
4026115.000,1479.980178
4026125.000,1436.275942
4026135.000,1394.729413
4026145.000,1355.543050
4026155.000,1318.930978
4026165.000,1285.116656
4026175.000,1254.329437
4026185.000,1226.799936
4026195.000,1202.754175
4026205.000,1182.406557
4026215.000,1165.952155
4026225.000,1153.558553
4026235.000,1145.358081
4026245.000,1141.441144
4026255.000,1141.851372
4026265.000,1146.583196
4026275.000,1155.582155
4026285.000,1168.747817
4026295.000,1185.939163
4026305.000,1206.981507
4026315.000,1231.674418
4026325.000,1259.799823
4026335.000,1291.129657
4026345.000,1325.432627
4026355.000,1362.479825
4026365.000,1402.049102
4026375.000,1443.928278
4026385.000,1487.917212
4026395.000,1533.829129
4026405.000,1581.491099
4026415.000,1630.744058
4026425.000,1681.442433
4026435.000,1733.453499
4026445.000,1786.656593
4026445.664,1790.228525
4070125.150,1791.640604
4070135.000,1730.469182
4070145.000,1668.973837
4070155.000,1608.170250
4070165.000,1548.147384
4070175.000,1489.007041
4070185.000,1430.865963
4070195.000,1373.858232
4070205.000,1318.138007
4070215.000,1263.882561
4070225.000,1211.295562
4070235.000,1160.610474
4070245.000,1112.093819
4070255.000,1066.047905
4070265.000,1022.812405
4070275.000,982.763922
4070285.000,946.312408
4070295.000,913.893184
4070305.000,885.953370
4070315.000,862.931984
4070325.000,845.234245
4070335.000,833.202069
4070345.000,827.084716
4070355.000,827.014735
4070365.000,832.994267
4070375.000,844.894815
4070385.000,862.470612
4070395.000,885.382426
4070405.000,913.226836
4070415.000,945.565774
4070425.000,981.952396
4070435.000,1021.951116
4070445.000,1065.151376
4070455.000,1111.175776
4070465.000,1159.683752
4070475.000,1210.372097
4070485.000,1262.973426
4070495.000,1317.253481
4070505.000,1373.007873
4070515.000,1430.058689
4070525.000,1488.251209
4070535.000,1547.450858
4070545.000,1607.540469
4070555.000,1668.417868
4070565.000,1729.993770
4070572.135,1774.309545
4110876.146,1774.279775
4110886.000,1713.468279
4110896.000,1652.412844
4110906.000,1592.102882
4110916.000,1532.633140
4110926.000,1474.111949
4110936.000,1416.663383
4110946.000,1360.429717
