"Time (EpSec)","Range (km)"
1913198.000,1260.693680
1913218.000,1321.109568
1913238.000,1393.388977
1913241.125,1405.635748
1947815.841,1406.354146
1947835.000,1346.322143
1947855.000,1295.945224
1947875.000,1259.631585
1947895.000,1238.637896
1947915.000,1233.758240
1947935.000,1245.186511
1947955.000,1272.480536
1947975.000,1314.642868
1947995.000,1370.285859
1948007.881,1412.521955
1997831.176,1413.405042
1997851.000,1304.513550
1997871.000,1201.216377
1997891.000,1106.407685
1997911.000,1022.500387
1997931.000,952.423217
1997951.000,899.450301
1997971.000,866.750058
1997991.000,856.663598
1998011.000,869.983572
1998031.000,905.673443
1998051.000,961.231167
1998071.000,1033.436165
1998091.000,1119.042953
1998111.000,1215.189611
1998131.000,1319.537146
1998146.162,1402.969194
2038610.803,1402.792733
2038630.000,1318.628196
2038650.000,1240.517037
2038670.000,1174.127519
2038690.000,1121.568179
2038710.000,1084.868862
2038730.000,1065.679260
2038750.000,1064.948029
2038770.000,1082.706088
2038790.000,1118.058748
2038810.000,1169.390410
2038830.000,1234.682857
2038850.000,1311.821261
2038870.000,1398.811067
2038872.811,1411.722734
2082683.958,1412.839326
2082703.000,1308.626167
2082723.000,1205.515301
2082743.000,1110.738541
2082763.000,1026.658670
2082783.000,956.148529
2082803.000,902.434176
2082823.000,868.667979
2082843.000,857.231473
2082863.000,869.017207
2082883.000,903.116709
2082903.000,957.139036
2082923.000,1027.930828
2082943.000,1112.271036
2082963.000,1207.294363
2082983.000,1310.645586
2082999.739,1402.188453
2123429.095,1402.255181
2123449.000,1290.432561
2123469.000,1184.225828
2123489.000,1086.040444
2123509.000,998.292132
2123529.000,923.999400
2123549.000,866.662113
2123569.000,829.825606
2123589.000,816.282652
2123609.000,827.179756
2123629.000,861.581261
2123649.000,916.827158
2123669.000,989.406268
2123689.000,1075.784233
2123709.000,1172.879545
2123729.000,1278.211525
2123749.000,1389.864990
2123753.051,1413.113081
2167580.944,1410.927917
2167600.000,1342.789400
2167620.000,1282.371166
2167640.000,1234.990088
2167660.000,1202.217521
2167680.000,1185.287790
2167700.000,1184.894856
2167720.000,1201.062132
2167740.000,1233.138437
2167760.000,1279.921391
2167780.000,1339.858344
2167797.961,1403.501682
2208296.470,1403.560166
2208316.000,1302.724629
2208336.000,1207.147792
2208356.000,1121.370130
2208376.000,1047.843583
2208396.000,989.339507
2208416.000,948.669341
2208436.000,928.199266
2208456.000,929.274283
2208476.000,951.820851
2208496.000,994.369849
2208516.000,1054.485132
2208536.000,1129.340569
2208556.000,1216.187404
2208576.000,1312.612907
2208595.391,1413.359290
2258402.889,1413.000439
2258422.000,1333.934400
2258442.000,1261.506130
2258462.000,1201.539059
2258482.000,1156.001233
2258502.000,1126.663479
2258522.000,1114.817371
2258542.000,1121.021302
2258562.000,1144.977583
2258582.000,1185.598823
2258602.000,1241.231352
2258622.000,1309.939519
2258642.000,1389.755766
2258645.596,1405.142582
2293226.315,1407.046399
2293246.000,1357.161924
